id_disposisi,tujuan,isi_disposisi,sifat,batas_waktu,catatan,id_surat,id_user
1,Tim Pengembangan Produk,"Iracundiae, contentiones concertationesque in disputando pertinaces indignae philosophia mihi videri solent. Tum Torquatus: Prorsus, inquit, assentior; neque enim tempus est ullum, quo non plus habeat sapiens, quod gaudeat, quam quod angatur. Optime vero Epicurus, quod exiguam dixit fortunam intervenire sapienti maximasque ab eo ortum, tam inportuno tamque crudeli.",Tertutup,2024-03-27 21:01:12,"Rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem.",83,9
2,Tim Pengembangan Produk,"Est. Tribus igitur modis video esse a nostris de amicitia disputatum. Alii cum eas voluptates, quae ad amicos pertinerent, negarent.",Biasa,2025-01-03 23:34:13,"Quam mihi quisque tribuat, quid.",54,1
3,Kepala Cabang Jakarta,"Illud enim ipsum, quod quibusdam medium videretur, cum omni dolore et molestia perfruique maximis et animi et corporis voluptatibus, videtisne quam nihil molestiae consequatur, vel illum, qui dolorem eum fugiat, quo voluptas nulla pariatur? At vero eos et accusamus et iusto odio.",Penting,2024-02-04 22:31:24,Latine? Quid? Si nos non.,100,9
4,Bagian Pengadaan Barang,"Facta primo suspicio insequitur, dein sermo atque fama, tum accusator, tum iudex; Multi etiam, ut te consule, ipsi.",Internal,2024-05-08 03:04:51,"Infinitis modum constituant in reque eo meliore, quo maior sit, mediocritatem desiderent.",2,9
5,Kepala Bagian Keuangan,"Futuris, sed expectat illa, fruitur praesentibus ab iisque vitiis, quae paulo.",Pribadi,2025-01-13 10:32:52,"Vero ipsam amicitiam tueri, nisi aeque amicos et nosmet.",85,9
6,Bagian Pengadaan Barang,"Quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium? Et tamen in quibusdam neque pecuniae modus.",Umum,2024-07-16 00:27:17,"Succumbere doloribus eosque humili animo inbecilloque ferre miserum est, ob eamque causam.",85,2
7,Pengelola IT,"Tempore aetatis percipi posse, quam ex hoc percipiatur, quod videamus esse finitum. In dialectica autem vestra nullam existimavit esse nec ad commodius disserendum viam. In physicis.",Tertutup,2024-11-12 19:29:12,"Ipsa quae qualisque sit, ut tollatur error omnis imperitorum.",8,10
8,Divisi Sumber Daya Manusia,"Voluptates effluere patiatur earumque assidua recordatione laetetur, quid est, cur nostri a nostris non legantur? Quamquam, si plane sic verterem Platonem aut Aristotelem, ut verterunt nostri poetae fabulas, male, credo, mererer de meis.",Internal,2024-05-10 23:41:19,"Veserim propter voluptatem; cum autem usus progrediens familiaritatem effecerit, tum amorem efflorescere.",90,2
9,Divisi Sumber Daya Manusia,"Privavisse se etiam videtur multis voluptatibus, cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii.",Pribadi,2024-09-15 05:30:04,"Est non miser. Accedit etiam mors, quae quasi titillaret.",14,9
10,Tim Audit,"Doctrina philosophi Graeco sermone tractavissent, ea Latinis litteris mandaremus, fore ut hic noster labor in varias reprehensiones incurreret. Nam quibusdam, et iis quidem non.",Khusus,2024-11-07 04:39:42,"Prohiberet Epicureum esse, si probarem, quae ille diceret? Cum.",30,9
11,Asisten Pribadi Direktur Utama,"Inquam, in physicis, quibus maxime gloriatur, primum totus est alienus. Democritea dicit perpauca mutans, sed ita, ut ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit. Non enim hanc solam sequimur, quae suavitate aliqua naturam.",Umum,2024-11-14 12:32:25,"Et omnis monstret vias, quae.",25,8
12,Bagian Pengadaan Barang,"Defuturum, quas natura non depravata desiderat. Et quem ad modum sit affectus, eum necesse est effici, ut sapiens solum amputata circumcisaque inanitate omni et errore naturae finibus contentus.",Biasa,2024-09-15 02:46:19,Orationis et consequentium repugnantiumve ratio potest perspici. Omnium autem rerum.,98,8
13,Bagian Pengadaan Barang,"In oculis quidem exercitus. -- Quid ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter.",Penting,2024-02-29 05:34:54,"Voluptatem pleniorem efficit. Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem.",73,4
