kode,nama,uraian,id_user
MZ.fd-J72,Feedback,"Fieri, difficilem quandam temperantiam postulant in eo, quod.",10
CW.lp-O34,Claims,Ad melius vivendum nec ad.,2
WO.ku-G87,Resolutions,Incididunt ut labore et dolore magnam.,6
QO.oj-H97,Policies,"Dolorem saepe perpetiuntur, ne, si amicitiam propter nostram voluptatem expetendam putemus.",1
TI.pr-M97,Resolutions,"Iis quos probamus, eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid.",5
TJ.ih-Q70,Guidelines,"Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi quidem videtur. Ac.",2
VC.ob-B26,Resolutions,"Mihi ea facultas, ut id meo arbitratu facerem, ante hoc.",6
NY.pk-P59,Inquiries,"Nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici.",10
UA.be-W75,Inquiries,"Ultimum bonorum, quod omnium philosophorum sententia tale debet esse, ut ad Orestem.",6
LG.vq-R02,Regulations,"Et dolorem? Sunt autem quidam e nostris, qui haec subtilius velint.",1
UF.mt-G05,Disputes,"A nobis, aequi esse debent.",4
WX.yv-K08,Claims,Etiam approbantibus nobis. Sic enim ab Epicuro sapiens semper beatus inducitur: finitas habet cupiditates.,10
YW.nv-N19,Policies,Oblivione obruamus et secunda iucunde ac suaviter meminerimus. Sed.,1
OK.wd-Z24,Regulations,"Percipitur omni dolore careret, non modo non impediri rationem amicitiae, si.",1
XA.rq-Q74,Disputes,"Videbitur, transferam, et maxime ab iis, quos ego.",9
DZ.au-C70,Claims,"Dolores ita paratus est, ut necessariae.",10
XA.ku-V14,Policies,"Possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus.",6
AX.zw-M44,Resolutions,"Voluptas. Ut enim, cum cibo et potione fames sitisque depulsa est.",6
PE.mq-X12,Announcements,"In musicis, geometria, numeris, astris contereret, quae et splendide dicta sint.",4
IJ.vn-D31,Claims,"Aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis.",8
GP.lh-C44,Suggestions,"Partus ancillae sitne in fructu habendus, disseretur.",5
IN.et-V18,Contracts,"Sed ipsius honestatis decore laudandis, id totum evertitur eo.",4
PD.dw-P24,Orders,"Sine dubio praeclara sunt, fecerint.",6
FF.kq-U69,Claims,"Ferre doceat iniurias et omnis monstret vias, quae ad amicos pertinerent, negarent esse.",6
PP.eb-T83,Disputes,"Facillimis ordiamur, prima veniat in medium Epicuri.",10
VJ.tt-B82,Announcements,Iudicio ab eadem illa atomorum.,9
TI.qf-W71,Guidelines,"Vita sine amicis insidiarum et metus plena sit, ratio ipsa monet amicitias.",7
XW.iu-E87,Requests,"Utilitas omnisque puerilis est delectatio, aut.",1
XJ.mn-O88,Complaints,"Dividendo ac partiendo docet, non quo ignorare vos arbitrer, sed ut.",5
EY.eb-K27,Contracts,Naturam ipsam movet et cum iucunditate quadam percipitur.,2
NX.jv-A42,Recommendations,"Eisque nostrum iudicium et nostrum scribendi ordinem adiungimus, quid habent, cur Graeca anteponant.",7
SM.ua-K49,Guidelines,"Metuamus. Iam illud quidem physici, credere.",8
NI.wy-J91,Claims,"Graecis? Nam si dicent ab illis has res esse tractatas, ne ipsos quidem Graecos.",10
FW.ro-S98,Contracts,"Dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos.",4
NT.jz-H24,Contracts,"Sit, sed stare etiam oportet in eo, quod semel admissum coerceri reprimique.",10
UO.zn-F05,Policies,"Graecis isdem de rebus alia ratione compositis, quid est, quod nullam eruditionem esse duxit.",6
NN.df-E70,Feedback,Aut angere. Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia.,7
QZ.ya-T65,Suggestions,"Maiores esse et muniti videntur, deorum tamen horrent easque.",1
UV.fa-W01,Requests,"Quodsi Graeci leguntur a Graecis isdem de rebus alia ratione compositis, quid est.",2
FN.xd-F10,Financial,"Naturam aut contra sit, a natura ipsa.",5
OL.ub-R61,Announcements,"Potius inflammat, ut coercendi magis quam dedocendi esse videantur.",10
ND.yz-E93,Financial,"Nec impediente nec inpendente, quem.",5
LR.ts-X39,Resolutions,"Sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore careret, non modo numquam.",3
PF.kb-A12,Notifications,"Verum, opinor, scriptorem tamen, ut legendus sit. Rudem enim esse.",5
IC.wo-C93,Claims,"Acuti, qui verentur ne, si amicitiam propter nostram voluptatem expetendam.",2
